iter	Passed	Remaining
0	128	128140
1	130	65139
2	131	43799
3	133	33119
4	134	26748
5	136	22557
6	137	19487
7	138	17155
8	139	15340
9	140	13884
10	141	12719
11	142	11731
12	143	10887
13	144	10155
14	144	9520
15	145	8964
16	146	8473
17	148	8076
18	148	7686
19	149	7334
20	150	7010
21	151	6731
22	152	6466
23	153	6222
24	153	6001
25	154	5790
26	155	5594
27	155	5412
28	156	5239
29	157	5078
30	157	4928
31	158	4787
32	158	4654
33	159	4537
34	160	4421
35	160	4309
36	161	4204
37	162	4104
38	162	4008
39	163	3916
40	163	3829
41	164	3746
42	164	3666
43	166	3611
44	166	3541
45	167	3471
46	167	3405
47	168	3341
48	168	3279
49	169	3220
50	170	3164
51	170	3109
52	171	3056
53	171	3006
54	172	2961
55	172	2914
56	173	2868
57	173	2824
58	174	2781
59	174	2739
60	175	2699
61	175	2660
62	176	2623
63	176	2586
64	177	2551
65	178	2519
66	178	2488
67	179	2457
68	179	2426
69	180	2395
70	180	2365
71	181	2336
72	181	2308
73	182	2281
74	182	2254
75	183	2228
76	183	2202
77	184	2179
78	185	2159
79	185	2135
80	186	2112
81	186	2090
82	186	2065
83	187	2044
84	187	2023
85	188	2002
86	188	1982
87	189	1963
88	189	1944
89	190	1927
90	191	1909
91	191	1892
92	192	1874
93	192	1857
94	193	1841
95	193	1825
96	194	1808
97	194	1792
98	195	1777
99	195	1762
100	196	1747
101	197	1734
102	197	1720
103	198	1706
104	198	1692
105	199	1679
106	199	1666
107	200	1653
108	200	1640
109	201	1627
110	201	1615
111	202	1602
112	202	1590
113	203	1580
114	203	1569
115	204	1557
116	204	1545
117	205	1534
118	205	1524
119	206	1513
120	206	1502
121	207	1492
122	207	1482
123	208	1472
124	209	1463
125	209	1455
126	210	1444
127	210	1435
128	211	1426
129	211	1417
130	212	1407
131	212	1398
132	213	1390
133	213	1381
134	214	1372
135	214	1364
136	215	1357
137	216	1350
138	216	1342
139	217	1334
140	217	1326
141	218	1317
142	218	1309
143	219	1302
144	219	1294
145	220	1287
146	220	1280
147	221	1272
148	221	1267
149	222	1261
150	223	1254
151	223	1248
152	224	1241
153	224	1234
154	225	1228
155	225	1222
156	226	1215
157	226	1209
158	227	1202
159	228	1197
160	228	1191
161	229	1185
162	229	1178
163	230	1172
164	230	1166
165	231	1160
166	231	1155
167	232	1149
168	232	1143
169	233	1137
170	233	1132
171	234	1127
172	234	1122
173	235	1117
174	236	1112
175	236	1107
176	237	1102
177	237	1097
178	238	1091
179	238	1086
180	239	1081
181	239	1076
182	240	1072
183	240	1068
184	241	1063
185	241	1058
186	242	1053
187	242	1049
188	243	1044
189	243	1039
190	244	1035
191	244	1030
192	245	1026
193	245	1021
194	246	1017
195	247	1013
196	247	1009
197	248	1005
198	248	1000
199	249	996
200	249	993
201	250	989
202	251	985
203	251	981
204	252	977
205	252	973
206	253	970
207	254	967
208	254	963
209	255	959
210	255	955
211	256	951
212	256	947
213	257	944
214	257	940
215	258	936
216	258	933
217	259	931
218	260	928
219	260	924
220	261	921
221	261	917
222	262	914
223	262	910
224	263	907
225	263	903
226	264	900
227	264	896
228	265	894
229	266	891
230	266	887
231	267	884
232	267	881
233	268	878
234	268	874
235	269	871
236	269	868
237	270	865
238	270	861
239	271	858
240	271	856
241	272	853
242	272	850
243	273	847
244	274	844
245	274	841
246	275	838
247	275	835
248	276	832
249	276	829
250	276	826
251	277	823
252	278	821
253	278	819
254	279	816
255	280	813
256	280	810
257	281	808
258	281	805
259	281	802
260	282	799
261	282	797
262	283	794
263	284	792
264	284	790
265	285	787
266	285	784
267	286	782
268	286	779
269	287	777
270	287	774
271	288	771
272	288	769
273	289	766
274	289	764
275	290	762
276	291	760
277	291	757
278	292	755
279	292	752
280	293	750
281	293	747
282	294	745
283	294	742
284	295	740
285	295	738
286	296	735
287	297	734
288	297	732
289	298	729
290	298	727
291	299	725
292	299	722
293	300	720
294	300	718
295	301	716
296	301	713
297	302	711
298	302	709
299	303	708
300	304	706
301	304	704
302	305	701
303	305	699
304	306	697
305	306	695
306	307	693
307	307	690
308	308	688
309	308	686
310	309	685
311	310	683
312	310	681
313	311	679
314	311	677
315	312	675
316	312	673
317	313	671
318	313	669
319	313	667
320	314	665
321	315	663
322	315	662
323	316	660
324	317	658
325	317	656
326	318	654
327	318	652
328	319	651
329	319	649
330	320	647
331	320	645
332	321	643
333	322	642
334	322	640
335	323	638
336	323	636
337	324	635
338	324	633
339	325	631
340	325	629
341	326	627
342	326	625
343	327	624
344	327	622
345	328	620
346	329	619
347	329	617
348	330	615
349	330	613
350	330	611
351	331	610
352	331	608
353	332	606
354	332	604
355	333	603
356	334	602
357	334	600
358	335	598
359	335	596
360	336	595
361	336	593
362	337	591
363	337	590
364	338	588
365	338	586
366	339	585
367	339	583
368	340	582
369	341	580
370	341	579
371	342	577
372	342	575
373	343	574
374	343	572
375	344	571
376	344	569
377	345	567
378	345	566
379	346	565
380	347	563
381	347	562
382	347	560
383	348	559
384	348	557
385	349	555
386	350	554
387	350	553
388	351	551
389	351	549
390	352	548
391	352	547
392	353	545
393	353	544
394	354	542
395	354	541
396	355	539
397	355	538
398	356	536
399	356	535
400	357	533
401	357	532
402	358	531
403	359	529
404	359	528
405	360	526
406	360	525
407	361	524
408	361	522
409	362	521
410	362	519
411	363	518
412	363	516
413	364	515
414	364	514
415	365	513
416	366	511
417	366	510
418	367	508
419	367	507
420	368	506
421	368	504
422	368	503
423	369	501
424	369	500
425	370	499
426	371	498
427	371	496
428	372	495
429	372	494
430	373	492
431	373	491
432	374	490
433	374	488
434	375	487
435	375	486
436	376	484
437	376	483
438	377	482
439	378	481
440	378	480
441	379	478
442	379	477
443	380	476
444	380	474
445	381	473
446	381	472
447	382	470
448	382	469
449	383	468
450	383	467
451	384	466
452	384	464
453	385	463
454	385	462
455	386	461
456	386	459
457	387	458
458	387	457
459	388	455
460	388	454
461	389	453
462	390	452
463	390	451
464	391	450
465	391	448
466	392	447
467	392	446
468	393	445
469	393	444
470	394	442
471	394	441
472	395	440
473	395	439
474	396	438
475	397	437
476	397	435
477	398	434
478	398	433
479	399	432
480	399	431
481	400	429
482	400	428
483	401	427
484	401	426
485	402	425
486	402	424
487	403	423
488	403	421
489	404	420
490	404	419
491	405	418
492	405	417
493	406	416
494	406	415
495	407	413
